Title,Company,Link,Location,Summary,Salary
Golang Developers - (Open to working remotely),Spectra Logic,https://www.indeed.com/viewjob?jk=ba933258b76b0f0f&vjs=3,Remote,"With the vast amounts of data created by household names in internet services, and the security concerns of ensuring that data remains safe from all who would…","$75,000 - $120,000 a year"
Golang Engineer,Compliable,https://www.indeed.com/viewjob?jk=7a69c925032d7418&vjs=3,Remote,Compliable makes gaming licensing easy. You’ll be able to work on small to long term engagements with the team. The ability to build and maintain software.,"$120,000 a year"
Java Developer/Golang,Marlabs Innovations,https://www.indeed.com/viewjob?jk=7113bba8d8036ab1&vjs=3,Remote,"Uses analytical, engineering-focused approach and expert knowledge of programming languages to develop computer programs and ensure software is functional and…",$60 - $68 an hour
Golang Developer,workcog,https://www.indeed.com/viewjob?jk=1e82c69dc364ff18&vjs=3,Remote,"Required: Go, microservices, Kafka, AWS Preferred: Redis. Job Types: Full-time, Contract.",$65 - $85 an hour
GoLang developer,MSys Technologies,https://www.indeed.com/viewjob?jk=c2eb5736ccd15cb0&vjs=3,Remote,"Project description: * Requirement to build a new service to enforce trade compliance on all entities including users, customers, devices, software etc.",From $80 an hour
Golang Developer,The Ksquare Group.,https://www.indeed.com/viewjob?jk=f609799e3c1dd713&vjs=3,Remote,"Expertise in translating business requirements to project design, development, and execution. Strong analytical skills with the ability to collect, organize,…",$75 an hour
Senior Golang Developer - Remote - Rapidly Growing Crypto Company,Kraken Digital Asset Exchange,https://www.indeed.com/viewjob?jk=792534e6aef3f370&vjs=3,"Remote in Miami, FL","Maintain and develop a service-oriented backend. Analyze and identify bottlenecks in performance. Design secure, stable, and robust architecture.",Estimated $120K - $152K a year
Middle Backend Engineer (Golang),Mobalytics,https://www.indeed.com/viewjob?jk=679a6ae2cb61a16b&vjs=3,Remote,GRPC for cross-service communication and GraphQL/WebSocket for the frontend. Basic knowledge of microservice architecture and design patterns.,Estimated $99.8K - $126K a year
Team Lead GOlang,Schaffhausen Institute of Technology,https://www.indeed.com/viewjob?jk=9355a47aab8bc6a8&vjs=3,Remote,This project can be interesting who prefer working with challenging tasks and creating new products. Be involved in the entire project cycle from analyzing…,Estimated $101K - $128K a year
Golang Developer,Blink TP,https://www.indeed.com/viewjob?jk=04887fcc7f2d192e&vjs=3,"Remote in Portland, OR",3+ years recent experience with Application Development using Golang. The ability to quickly learn new technical skills and grasp new concepts.,"From $80,000 a year"
Golang Developer,Maximo Global Tech,https://www.indeed.com/viewjob?jk=c75115a9caa5b5eb&vjs=3,Remote,"Write, modify, and debug software for client applications. Use source debuggers and visual development environments. Master's in Computer Science.",Estimated $98.8K - $125K a year
Financial Data Exchange -A DDA / FDX API developer with OAuth 2,CapB InfoteK,https://www.indeed.com/viewjob?jk=2b324b89522d4860&vjs=3,"Chicago, IL",For our growing needs we need consultants with experience in Financial Data Exchange -A DDA / FDX API developer with OAuth 2 who can work with us on salaried or…,Estimated $115K - $146K a year
Golang Developer,Agama Solutions,https://www.indeed.com/viewjob?jk=ca13a57e3f1f72d2&vjs=3,"San Francisco, CA","Java Developer San Francisco, CA Any visa will work Skills - AWS, Golang,…",Estimated $120K - $153K a year
Golang Developer Fulltimer,jupitorconsulting,https://www.indeed.com/viewjob?jk=668ef487219ba350&vjs=3,"Houston, TX",3+ years recent experience with Application Development using. The ability to quickly learn new technical skills and grasp.,Estimated $99.7K - $126K a year
Developer III (Golang/Backend),Compassion,https://www.indeed.com/viewjob?jk=f91f48b8a629f92a&vjs=3,Remote,This career developer is responsible for the lifecycle of critical corporate-wide and customer-specific technology based products.,"$79,030 - $98,785 a year"
Sr. Golang Developer,Workcog Inc,https://www.indeed.com/viewjob?jk=56d0439b543a3359&vjs=3,Remote,Must be able to work on W2 Contract Roles or on 1099 Basis.*. Must have 9+ Years of experience.*. Excellent hands-on experience in Golang programming.,$34 - $85 an hour
Golang Developer Fulltimer,jupitorconsulting,https://www.indeed.com/viewjob?jk=668ef487219ba350&vjs=3,"Houston, TX",3+ years recent experience with Application Development using. The ability to quickly learn new technical skills and grasp.,Estimated $99.7K - $126K a year
Golang Developer,workcog,https://www.indeed.com/viewjob?jk=1e82c69dc364ff18&vjs=3,Remote,"Required: Go, microservices, Kafka, AWS Preferred: Redis. Job Types: Full-time, Contract.",$65 - $85 an hour
Early Career Software Engineer - LCM (Python/ Golang),Nutanix,https://www.indeed.com/viewjob?jk=ee4696722e6765ba&vjs=3,"San Jose, CA 95110 (North San Jose area)","Design and develop software framework to manage lifecycle of distributed software systems, OS, hypervisor, and firmware.",Estimated $111K - $140K a year
Software Engineer - Service Mesh,Home Depot / THD,https://www.indeed.com/viewjob?jk=9a6d32ac29ff51ac&vjs=3,"Atlanta, GA 30301",Software Engineers are expected to pair on a daily basis as they work through user stories and support products as they evolve.,"$50,000 - $130,000 a year"
